,day_of_week,start_hour,start_station_id,start_station_longitude,start_station_latitude,ride_start_date
321,Thu,21,461,-73.98205027,40.73587678,2013-09-26
322,Fri,23,174,-73.97738662,40.7381765,2013-09-06
323,Mon,17,306,-74.00530063,40.70823502,2013-09-16
324,Sat,15,450,-73.98788205,40.76227205,2013-09-14
325,Wed,17,466,-73.99144871,40.74395411,2013-09-18
326,Fri,23,236,-73.98713956,40.7284186,2013-09-20
327,Mon,12,394,-73.97768752,40.72521311,2013-09-30
328,Sun,17,360,-74.00887308,40.70717936,2013-09-08
329,Sun,22,361,-73.99190759,40.71605866,2013-09-08
330,Wed,8,284,-74.00263761,40.73901691,2013-09-25
331,Thu,7,401,-73.98997825,40.72019576,2013-09-26
332,Thu,7,519,-73.97770164,40.75188406,2013-09-05
333,Sun,19,150,-73.98085795,40.7208736,2013-09-29
334,Fri,8,388,-74.00295035,40.74971775,2013-09-06
335,Fri,0,479,-73.9912551,40.76019252,2013-09-06
336,Sat,17,503,-73.98751968,40.73827428,2013-09-28
337,Tue,6,477,-73.9900262,40.75640548,2013-09-17
338,Thu,6,488,-73.99372222,40.75645824,2013-09-12
339,Sat,9,368,-74.00214988,40.73038599,2013-09-21
340,Thu,8,504,-73.98165557,40.73221853,2013-09-12
341,Fri,8,501,-73.97121214,40.744219,2013-09-06
342,Sat,8,280,-73.99510132,40.73331967,2013-09-21
343,Sat,11,457,-73.98169333,40.76695317,2013-09-07
344,Sun,16,482,-73.99931783,40.73935542,2013-09-29
345,Fri,19,348,-74.00154702,40.72490985,2013-09-27
346,Sun,12,297,-73.986923,40.734232,2013-09-29
347,Mon,8,473,-73.9919254,40.72110063,2013-09-23
348,Thu,17,293,-73.9907647,40.73028666,2013-09-12
349,Tue,18,482,-73.99931783,40.73935542,2013-09-24
350,Mon,18,306,-74.00530063,40.70823502,2013-09-30
351,Thu,10,382,-73.99200509,40.73492695,2013-09-12
352,Mon,19,320,-74.00583475,40.71743998,2013-09-23
353,Wed,6,490,-73.993934,40.751551,2013-09-25
354,Sun,16,402,-73.98955109,40.7403432,2013-09-22
355,Sun,22,233,-73.98963911,40.69246277,2013-09-15
356,Mon,17,517,-73.97798848,40.75149263,2013-09-16
357,Tue,20,291,-73.984844,40.713126,2013-09-10
